,scale,n,m,L,sigu_err,sigv_err,alp_err,beta_err
0,2.0,500.0,20.0,5.0,-0.08200031660489915,3.1244157707825613,0.8957510195402683,1.1492020882971856
0,2.0,500.0,20.0,10.0,-0.06070343917723553,1.1719188661017816,1.9260194779673556,1.2803673750875102
0,2.0,500.0,100.0,2.0,0.04414095022625036,-0.20940999425710935,0.2646540883016089,0.29200468895665005
0,2.0,500.0,100.0,5.0,0.5358018229326089,2.076252971225876,1.0586678626544312,1.1522439709868075
0,2.0,500.0,100.0,10.0,0.38868653665124187,0.7997622619994031,0.8197472905282099,0.7363633446164981
0,2.0,500.0,200.0,2.0,-0.22344398975983576,-0.29813141551556543,0.5218703035130559,0.5392956773383617
0,2.0,500.0,200.0,5.0,1.3852045361875458,-0.27666963848893655,0.5974050047429791,0.5150496696125391
0,2.0,500.0,200.0,10.0,0.24656967746767935,0.11240253706413862,0.2349493391556293,0.38458567910342434
0,2.0,500.0,1000.0,2.0,1.0488925873278743,-0.398369998037405,0.015316741197865053,0.023519811489106108
0,2.0,500.0,1000.0,5.0,0.044563150802341946,0.6346233924908995,0.1658957043602487,0.18915545651985355
0,2.0,500.0,1000.0,10.0,0.4610335640074701,-0.0029795134042965086,0.36158970907500687,0.3735417816720498
0,2.0,1000.0,20.0,2.0,3.1914190403288516,0.2675604341945846,0.3890745873830603,0.43026631180762465
0,2.0,1000.0,20.0,5.0,1.1485465312023906,0.7061581980245711,0.64083063714959,1.043046273047808
0,2.0,1000.0,20.0,10.0,-0.05266685351660268,0.1655595976651127,0.9926450858765284,0.8738971275129149
0,2.0,1000.0,100.0,2.0,0.28512639662804545,0.3798788905516084,0.7160360505561139,0.4509264935611702
0,2.0,1000.0,100.0,5.0,0.09535240873317322,0.7012221671896732,0.5271682881321983,0.25355467939596765
0,2.0,1000.0,100.0,10.0,-0.26809898175293667,1.5516506070675093,0.8233381820516606,0.8590111293340026
0,2.0,1000.0,200.0,2.0,0.08789779298110846,-0.30880026614441497,0.26785468207213836,0.19408028039454073
0,2.0,1000.0,200.0,5.0,0.8604065739457208,-0.31648323024512726,0.29129864096798486,0.25977609765873194
0,2.0,1000.0,200.0,10.0,-0.35622644145827764,1.2489771543431794,0.3401392709395137,0.25310025974951816
0,2.0,1000.0,1000.0,2.0,0.43137444718941914,-0.16952587076548295,0.04375322128926107,0.03544333015398626
0,2.0,1000.0,1000.0,5.0,1.7813334130103051,-0.44999073264621975,0.22134601382549224,0.2360749699868928
0,2.0,1000.0,1000.0,10.0,-0.19113681807297447,0.3650676071056487,0.1832004369425017,0.19686435561111038
0,2.0,5000.0,20.0,2.0,0.03929849444669762,0.2789666086981244,0.24435252406874167,0.4871998143883508
0,2.0,5000.0,20.0,5.0,1.2639345623762752,0.24611765139639605,0.6420692932226274,0.6781406210649721
0,2.0,5000.0,20.0,10.0,-0.35573943505751215,0.8835109870670552,0.3211228779112175,0.4095504447782896
0,2.0,5000.0,100.0,2.0,0.477939884683743,-0.36740552336018006,0.02876110913794139,0.12645780554410918
